Actual,Predicted
64.0,64.0
40.0,40.0
40.0,40.0
85.0,85.0
75.0,75.0
56.0,56.0
48.0,48.0
80.0,80.0
45.0,45.0
200.0,200.0
51.97,51.969999999999985
105.0,105.0
65.0,65.0
91.97,91.97
90.0,90.0
62.97,62.970000000000006
44.97,44.96999999999991
145.0,145.0
51.97,51.969999999999985
68.0,68.0
200.0,200.0
55.0,55.0
95.0,95.0
190.0,190.0
110.0,110.0
75.0,75.0
95.0,95.0
39.0,39.0
150.0,150.0
37.0,37.0
74.0,74.0
60.0,60.0
78.97,78.97000000000007
60.0,60.0
45.0,45.0
105.0,105.0
55.0,55.0
190.0,190.0
340.0,340.0
140.0,140.0
130.0,130.0
68.0,68.0
135.0,135.0
60.0,60.0
45.0,45.0
135.0,135.0
130.0,130.0
35.0,35.0
95.0,95.0
55.97,55.97
80.0,80.0
74.0,74.0
58.0,58.0
85.0,85.0
47.0,47.0
120.0,120.0
80.0,80.0
85.97,85.97000000000007
133.99,133.98999999999998
105.0,105.0
95.0,95.0
155.0,155.0
30.97,30.96999999999995
125.0,125.0
122.99,122.9899999999998
190.0,190.0
85.0,85.0
70.0,70.0
225.0,225.0
85.0,85.0
145.0,145.0
125.0,125.0
210.0,210.0
35.0,35.0
30.97,30.96999999999995
125.0,125.0
100.0,100.0
95.0,95.0
171.99,171.9899999999999
180.0,180.0
40.0,40.0
270.0,270.0
185.0,185.0
105.0,105.0
120.0,120.0
180.0,180.0
110.0,110.0
37.0,37.0
69.0,69.0
105.0,105.0
85.0,85.0
35.0,35.0
340.0,340.0
130.0,130.0
130.0,130.0
150.0,150.0
58.0,58.0
68.97,68.97000000000004
78.0,78.0
100.0,100.0
54.0,54.0
70.0,70.0
130.0,130.0
80.0,80.0
90.0,90.0
75.0,75.0
105.0,105.0
235.0,235.0
15.97,16.23000000000002
80.0,80.0
235.0,235.0
70.0,70.0
151.97,151.96999999999974
74.0,74.0
100.0,100.0
95.0,95.0
30.0,30.0
130.0,130.0
150.0,150.0
123.97,123.96999999999984
200.0,200.0
69.97,69.97000000000003
31.97,31.969999999999896
100.0,100.0
35.0,35.0
130.0,130.0
75.0,75.0
190.0,190.0
80.0,80.0
80.0,80.0
47.0,47.0
160.0,160.0
105.0,105.0
130.0,130.0
80.0,80.0
120.99,120.99000000000038
44.97,44.969999999999935
35.0,35.0
125.0,125.0
40.0,40.0
105.0,105.0
105.0,105.0
55.97,55.97
62.97,62.97
55.0,55.0
48.0,48.0
45.0,45.0
58.0,58.0
115.0,115.0
31.97,31.969999999999896
26.97,26.969999999999967
160.0,160.0
55.0,55.0
50.0,50.0
82.97,82.97000000000006
90.0,90.0
105.0,105.0
56.97,56.970000000000006
25.97,25.969999999999963
42.0,42.0
240.97,240.97000000000017
80.0,80.0
37.97,37.96999999999989
150.0,150.0
31.97,31.969999999999896
51.97,51.969999999999985
160.0,160.0
37.0,37.0
36.0,36.0
47.0,47.0
120.99,120.99000000000038
68.0,68.0
125.0,125.0
47.0,47.0
54.0,54.0
31.97,31.969999999999903
110.0,110.0
135.0,135.0
36.97,36.92999999999992
41.97,41.96999999999989
120.0,120.0
145.0,145.0
160.97,160.96999999999971
21.97,21.96999999999999
310.0,310.0
260.0,260.0
95.0,95.0
80.0,80.0
152.97,152.96999999999974
45.0,45.0
58.97,58.9700000000001
50.0,50.0
235.0,235.0
175.0,175.0
115.0,115.0
85.0,85.0
130.0,130.0
115.0,115.0
42.0,42.0
260.0,260.0
45.0,45.0
19.97,19.970000000000024
80.0,80.0
55.0,55.0
115.0,115.0
130.0,130.0
100.0,100.0
105.0,105.0
40.0,40.0
145.0,145.0
150.0,150.0
38.0,38.0
235.0,235.0
105.0,105.0
95.0,95.0
80.0,80.0
80.0,80.0
48.0,48.0
70.0,70.0
28.0,28.0
72.97,72.97000000000004
245.0,245.0
120.0,120.0
100.0,100.0
165.0,165.0
95.0,95.0
140.0,140.0
140.99,140.98999999999984
75.0,75.0
245.0,245.0
210.0,210.0
135.0,135.0
64.0,64.0
120.0,120.0
195.0,195.0
65.0,65.0
195.0,195.0
120.0,120.0
85.0,85.0
150.0,150.0
122.99,122.9899999999998
115.0,115.0
45.0,45.0
45.0,45.0
17.97,17.970000000000024
90.0,90.0
45.0,45.0
46.0,46.0
36.97,36.96999999999992
370.0,370.0
285.0,285.0
105.0,105.0
80.0,80.0
75.0,75.0
45.0,45.0
31.97,31.969999999999896
245.0,245.0
115.0,115.0
45.0,45.0
28.97,28.969999999999956
135.0,135.0
80.0,80.0
62.97,62.97
40.0,40.0
45.0,45.0
30.0,30.0
120.0,120.0
75.0,75.0
157.97,157.96999999999971
85.0,85.0
165.0,165.0
130.0,130.0
85.0,85.0
175.0,175.0
110.0,110.0
75.0,75.0
125.0,125.0
95.0,95.0
25.97,25.969999999999963
75.0,75.0
100.0,100.0
264.99,264.9896000000005
32.0,32.0
150.0,150.0
106.97,106.9700000000004
45.0,45.0
75.0,75.0
45.0,45.0
92.0,92.0
26.97,26.899999999999967
90.0,90.0
79.0,79.0
36.97,36.96999999999992
100.0,100.0
100.0,100.0
260.0,260.0
41.97,41.96999999999992
75.0,75.0
31.97,31.9699999999999
130.0,130.0
105.0,105.0
133.99,133.98999999999998
68.0,68.0
58.97,58.97000000000002
105.0,105.0
115.0,115.0
86.97,86.97000000000004
75.0,75.0
80.0,80.0
90.0,90.0
37.0,37.0
55.0,55.0
40.0,40.0
120.99,120.99000000000038
225.0,225.0
